ensembl_gene_id	gene_biotype	external_gene_name
ENSMFAG00000000076	protein_coding	CD247
ENSMFAG00000000187	protein_coding	
ENSMFAG00000000294	protein_coding	C1orf105
ENSMFAG00000000317	protein_coding	INAVA
ENSMFAG00000000367	protein_coding	FMN2
ENSMFAG00000000416	protein_coding	CNST
ENSMFAG00000000508	protein_coding	LYPD8
ENSMFAG00000000519	protein_coding	PRRC2C
ENSMFAG00000000624	protein_coding	
ENSMFAG00000000705	protein_coding	ZBTB37
ENSMFAG00000000787	protein_coding	COLGALT2
ENSMFAG00000000954	protein_coding	ZP4
ENSMFAG00000000959	protein_coding	TFB2M
ENSMFAG00000000974	protein_coding	LAMC2
ENSMFAG00000001068	protein_coding	B3GALNT2
ENSMFAG00000001236	protein_coding	PGBD5
ENSMFAG00000001268	protein_coding	C1orf53
ENSMFAG00000001269	protein_coding	RGS4
ENSMFAG00000001279	protein_coding	SELE
ENSMFAG00000001382	protein_coding	PDC
ENSMFAG00000001460	protein_coding	TNFSF4
ENSMFAG00000001541	protein_coding	RALGPS2
ENSMFAG00000001813	protein_coding	TNN
ENSMFAG00000001853	protein_coding	GORAB
ENSMFAG00000001951	protein_coding	GPA33
ENSMFAG00000001954	pseudogene	
ENSMFAG00000002126	protein_coding	RXRG
ENSMFAG00000002280	protein_coding	ACTA1
ENSMFAG00000002285	protein_coding	CEP170
ENSMFAG00000002296	protein_coding	PBX1
ENSMFAG00000002322	pseudogene	
ENSMFAG00000002493	protein_coding	LRRC52
ENSMFAG00000002585	protein_coding	ILDR2
ENSMFAG00000002589	protein_coding	SPRTN
ENSMFAG00000002602	protein_coding	CCDC190
ENSMFAG00000002671	protein_coding	
ENSMFAG00000002737	protein_coding	SH3BP5L
ENSMFAG00000002787	protein_coding	ABCB10
ENSMFAG00000002865	protein_coding	POU2F1
ENSMFAG00000002890	protein_coding	SCYL3
ENSMFAG00000002927	protein_coding	TMCO1
ENSMFAG00000003036	protein_coding	DARS2
ENSMFAG00000003043	protein_coding	ASTN1
ENSMFAG00000003478	protein_coding	
ENSMFAG00000003501	protein_coding	ZNF695
ENSMFAG00000003535	protein_coding	
ENSMFAG00000003840	protein_coding	
ENSMFAG00000003865	protein_coding	
ENSMFAG00000003888	protein_coding	ZNF669
ENSMFAG00000003972	pseudogene	
ENSMFAG00000003983	protein_coding	
ENSMFAG00000004049	protein_coding	C1orf131
ENSMFAG00000004233	snRNA	RF00026
ENSMFAG00000004310	snRNA	RF00026
ENSMFAG00000004383	snRNA	RF00026
ENSMFAG00000004419	snRNA	RF00026
ENSMFAG00000004437	protein_coding	MROH9
ENSMFAG00000004503	rRNA	RF00001
ENSMFAG00000004594	protein_coding	KIAA0040
ENSMFAG00000004635	protein_coding	
ENSMFAG00000004894	rRNA	RF00001
ENSMFAG00000005001	snRNA	RF00026
ENSMFAG00000005097	rRNA	RF00001
