"ensembl_gene_id"	"gene_biotype"	"external_gene_name"
"ENSRNOG00000004144"	"pseudogene"	"AABR07001435.1"
"ENSRNOG00000010529"	"protein_coding"	"Thbs2"
"ENSRNOG00000010753"	"protein_coding"	"Aig1"
"ENSRNOG00000011015"	"protein_coding"	"Hivep2"
"ENSRNOG00000011058"	"protein_coding"	"Utrn"
"ENSRNOG00000011114"	"protein_coding"	"Tbpl1"
"ENSRNOG00000011134"	"protein_coding"	"Lama2"
"ENSRNOG00000011161"	"protein_coding"	"Slc2a12"
"ENSRNOG00000011243"	"protein_coding"	"MGC94891"
"ENSRNOG00000011245"	"protein_coding"	"Arhgap18"
"ENSRNOG00000011310"	"protein_coding"	"Pde10a"
"ENSRNOG00000011399"	"processed_pseudogene"	"AABR07000292.1"
"ENSRNOG00000011411"	"protein_coding"	"Adgrg6"
"ENSRNOG00000011460"	"protein_coding"	"Arfgef3"
"ENSRNOG00000011540"	"protein_coding"	"Vta1"
"ENSRNOG00000011568"	"protein_coding"	"Rspo3"
"ENSRNOG00000011588"	"protein_coding"	"Rnf146"
"ENSRNOG00000011622"	"protein_coding"	"Echdc1"
"ENSRNOG00000011720"	"protein_coding"	"L3mbtl3"
"ENSRNOG00000011815"	"protein_coding"	"Sgk1"
"ENSRNOG00000011855"	"protein_coding"	"AABR07000629.1"
"ENSRNOG00000011994"	"protein_coding"	"Perp"
"ENSRNOG00000012057"	"protein_coding"	"Olig3"
"ENSRNOG00000012074"	"protein_coding"	"Ifngr1"
"ENSRNOG00000012092"	"protein_coding"	"Gje1"
"ENSRNOG00000012103"	"protein_coding"	"Nmbr"
"ENSRNOG00000012122"	"protein_coding"	"Clvs2"
"ENSRNOG00000012229"	"protein_coding"	"Tbxt"
"ENSRNOG00000012259"	"protein_coding"	"Il22ra2"
"ENSRNOG00000012286"	"protein_coding"	"Il20ra"
"ENSRNOG00000012311"	"protein_coding"	"Slc35d3"
"ENSRNOG00000012322"	"protein_coding"	"Pex7"
"ENSRNOG00000012324"	"protein_coding"	"Soga3"
"ENSRNOG00000012346"	"protein_coding"	"Epb41l2"
"ENSRNOG00000012415"	"protein_coding"	"Mpc1"
"ENSRNOG00000012581"	"protein_coding"	"RGD1311933"
"ENSRNOG00000012609"	"protein_coding"	"Trdn"
"ENSRNOG00000012701"	"protein_coding"	"Map7"
"ENSRNOG00000012720"	"protein_coding"	"Irx4"
"ENSRNOG00000012742"	"protein_coding"	"Irx2"
"ENSRNOG00000012775"	"protein_coding"	"Ccdc127"
"ENSRNOG00000012964"	"protein_coding"	"Ccr6"
"ENSRNOG00000013160"	"protein_coding"	"Sash1"
"ENSRNOG00000013190"	"protein_coding"	"Rnaset2"
"ENSRNOG00000013194"	"protein_coding"	"Rps6ka2"
"ENSRNOG00000013202"	"protein_coding"	"Akap7"
"ENSRNOG00000013304"	"protein_coding"	"Arg1"
"ENSRNOG00000013323"	"protein_coding"	"Rnf217"
"ENSRNOG00000013331"	"protein_coding"	"Sdha"
"ENSRNOG00000013351"	"protein_coding"	"Stxbp5"
"ENSRNOG00000013364"	"protein_coding"	"Hey2"
"ENSRNOG00000013374"	"protein_coding"	"Tcp10b"
"ENSRNOG00000013422"	"protein_coding"	"Med23"
"ENSRNOG00000013436"	"protein_coding"	"Pde7b"
"ENSRNOG00000013671"	"protein_coding"	"Vom2r9"
"ENSRNOG00000013791"	"protein_coding"	"Enpp3"
"ENSRNOG00000013969"	"protein_coding"	"Ahi1"
"ENSRNOG00000013975"	"protein_coding"	"Acat2l1"
"ENSRNOG00000013994"	"protein_coding"	"Enpp1"
"ENSRNOG00000014004"	"protein_coding"	"Ncoa7"
"ENSRNOG00000014160"	"protein_coding"	"Tcp1"
"ENSRNOG00000014166"	"protein_coding"	"Smoc2"
"ENSRNOG00000014190"	"protein_coding"	"Hint3"
"ENSRNOG00000014240"	"protein_coding"	"Trmt11"
"ENSRNOG00000014258"	"protein_coding"	"Rab32"
"ENSRNOG00000014290"	"protein_coding"	"Grm1"
"ENSRNOG00000014303"	"protein_coding"	"Lrp11"
